support,itemsets,length
0.34615384615384615,frozenset({'16...20'}),1
0.23076923076923078,frozenset({'2.8_3.2'}),1
0.15384615384615385,frozenset({'21...25'}),1
0.3076923076923077,frozenset({'26...30'}),1
0.46153846153846156,frozenset({'3.2_3.6'}),1
0.2692307692307692,frozenset({'3.6_4.0'}),1
0.23076923076923078,frozenset({'French'}),1
0.15384615384615385,frozenset({'M.S'}),1
0.19230769230769232,frozenset({'Ph.D'}),1
0.4230769230769231,frozenset({'junior'}),1
0.15384615384615385,frozenset({'over 30'}),1
0.2692307692307692,frozenset({'philosophy'}),1
0.15384615384615385,frozenset({'senior'}),1
0.19230769230769232,"frozenset({'3.2_3.6', '16...20'})",2
0.23076923076923078,"frozenset({'16...20', 'junior'})",2
0.15384615384615385,"frozenset({'21...25', 'junior'})",2
0.15384615384615385,"frozenset({'3.2_3.6', '26...30'})",2
0.15384615384615385,"frozenset({'26...30', 'Ph.D'})",2
0.19230769230769232,"frozenset({'philosophy', '26...30'})",2
0.19230769230769232,"frozenset({'3.2_3.6', 'junior'})",2
