support,itemsets,length
0.6633333333333333,"frozenset({'(-0.003, 1.0]'})",1
0.6516666666666666,frozenset({'No mortgage'}),1
0.5066666666666667,frozenset({'No Car'}),1
0.5,frozenset({'FEMALE'}),1
0.475,"frozenset({'(4956.094, 24386.173]'})",1
0.45666666666666667,frozenset({'Has pep'}),1
0.4483333333333333,frozenset({'INNER_CITY'}),1
0.3566666666666667,"frozenset({'(34.333, 50.667]'})",1
0.34,frozenset({'Not Married'}),1
0.31,frozenset({'No save_act'}),1
0.24166666666666667,frozenset({'No current_act'}),1
0.7583333333333333,frozenset({'Has current_act'}),1
0.66,frozenset({'Is Married'}),1
0.5433333333333333,frozenset({'No pep'}),1
0.5,frozenset({'MALE'}),1
0.49333333333333335,frozenset({'Has Car'}),1
0.39166666666666666,"frozenset({'(24386.173, 43758.137]'})",1
0.34833333333333333,frozenset({'Has mortgage'}),1
0.28833333333333333,frozenset({'TOWN'}),1
0.69,frozenset({'Yes save_act'}),1
0.31833333333333336,"frozenset({'(50.667, 67.0]'})",1
0.325,"frozenset({'(17.951, 34.333]'})",1
0.22333333333333333,"frozenset({'(1.0, 2.0]'})",1
0.5,"frozenset({'Has current_act', '(-0.003, 1.0]'})",2
0.4483333333333333,"frozenset({'Yes save_act', '(-0.003, 1.0]'})",2
0.3433333333333333,"frozenset({'Yes save_act', '(-0.003, 1.0]', 'Has current_act'})",3
0.41333333333333333,"frozenset({'(-0.003, 1.0]', 'No mortgage'})",2
0.5016666666666667,"frozenset({'Has current_act', 'No mortgage'})",2
0.45,"frozenset({'Yes save_act', 'No mortgage'})",2
0.435,"frozenset({'Is Married', 'No mortgage'})",2
0.32166666666666666,"frozenset({'Has current_act', '(-0.003, 1.0]', 'No mortgage'})",3
0.2866666666666667,"frozenset({'Is Married', '(-0.003, 1.0]', 'No mortgage'})",3
0.2783333333333333,"frozenset({'Yes save_act', '(-0.003, 1.0]', 'No mortgage'})",3
0.22166666666666668,"frozenset({'Has current_act', 'Is Married', '(-0.003, 1.0]', 'No mortgage'})",4
0.22333333333333333,"frozenset({'Has current_act', '(-0.003, 1.0]', 'Yes save_act', 'No mortgage'})",4
0.35333333333333333,"frozenset({'Has current_act', 'Yes save_act', 'No mortgage'})",3
0.33166666666666667,"frozenset({'Has current_act', 'Is Married', 'No mortgage'})",3
0.30666666666666664,"frozenset({'Yes save_act', 'Is Married', 'No mortgage'})",3
0.23666666666666666,"frozenset({'Has current_act', 'Is Married', 'Yes save_act', 'No mortgage'})",4
0.345,"frozenset({'No Car', '(-0.003, 1.0]'})",2
0.3283333333333333,"frozenset({'No Car', 'No mortgage'})",2
0.39166666666666666,"frozenset({'Has current_act', 'No Car'})",2
0.33666666666666667,"frozenset({'Is Married', 'No Car'})",2
0.28,"frozenset({'No Car', 'No pep'})",2
0.3416666666666667,"frozenset({'Yes save_act', 'No Car'})",2
0.265,"frozenset({'Has current_act', 'No Car', '(-0.003, 1.0]'})",3
0.21833333333333332,"frozenset({'No Car', '(-0.003, 1.0]', 'No mortgage'})",3
0.2633333333333333,"frozenset({'Has current_act', 'No Car', 'No mortgage'})",3
0.22166666666666668,"frozenset({'Is Married', 'No Car', 'No mortgage'})",3
0.215,"frozenset({'Yes save_act', 'No Car', 'No mortgage'})",3
0.25166666666666665,"frozenset({'Has current_act', 'No Car', 'Is Married'})",3
0.23333333333333334,"frozenset({'Is Married', 'No Car', '(-0.003, 1.0]'})",3
0.22166666666666668,"frozenset({'Yes save_act', 'No Car', 'Is Married'})",3
0.21,"frozenset({'Is Married', 'No Car', 'No pep'})",3
0.20833333333333334,"frozenset({'Has current_act', 'No Car', 'No pep'})",3
0.225,"frozenset({'Yes save_act', 'No Car', '(-0.003, 1.0]'})",3
0.265,"frozenset({'Yes save_act', 'No Car', 'Has current_act'})",3
0.3416666666666667,"frozenset({'FEMALE', 'No mortgage'})",2
0.33,"frozenset({'FEMALE', '(-0.003, 1.0]'})",2
0.255,"frozenset({'FEMALE', 'No Car'})",2
0.38333333333333336,"frozenset({'Has current_act', 'FEMALE'})",2
0.3433333333333333,"frozenset({'Yes save_act', 'FEMALE'})",2
0.325,"frozenset({'Is Married', 'FEMALE'})",2
0.2833333333333333,"frozenset({'FEMALE', 'No pep'})",2
0.265,"frozenset({'Has current_act', 'FEMALE', 'No mortgage'})",3
0.23,"frozenset({'Yes save_act', 'FEMALE', 'No mortgage'})",3
0.21666666666666667,"frozenset({'FEMALE', '(-0.003, 1.0]', 'No mortgage'})",3
0.255,"frozenset({'Has current_act', 'FEMALE', '(-0.003, 1.0]'})",3
0.22333333333333333,"frozenset({'Yes save_act', 'FEMALE', '(-0.003, 1.0]'})",3
